sector,USA,DEU,GBR,FRA,SWE,NLD,DNK,BEL,All other donors
Nutrition,970.5243898,36.61267457,141.60302,59.5514095,24.50693577,3.089845499,11.23108505,0,408.9064435
Multipurpose Cash,875.4819143,115.097434,206.0556611,14.68119772,5.811827701,3.348381333,6.574674483,5.880702842,498.7568942
Food security & agriculture,4504.016234,779.3165329,429.7871834,201.5092087,82.88533743,11.81742106,46.28643674,20.03751181,2559.459206
Logistics,218.9382682,50.61126885,24.25056337,11.11115531,6.259941885,3.011297209,0.029955707,1.079226711,152.6955037
Early Recovery,101.0751232,71.43189506,35.62451215,24.30509194,13.49154282,62.9517847,1.732147578,0,192.6636786
Water Sanitation Hygiene,540.1741262,51.50978512,52.00763432,34.89697464,40.5179667,7.744141389,11.13325486,1.81268346,649.2030555
Protection,795.139745,409.1893648,182.9049367,48.34925622,81.03165693,9.908791644,25.69667926,34.60598958,1569.436856
Emergency Shelter and NFI,410.0465273,117.7144321,26.34770131,9.728689978,29.41220412,17.05168168,3.516997987,0.489968743,710.0889002
Health,658.8031327,135.9975717,104.7868839,74.07076589,36.50476497,25.95353252,19.06850308,11.19029518,1927.633228
Education,144.4594284,55.9762263,60.45835827,41.69636648,12.50409127,4.086990846,11.21933277,4.059793786,753.928842
Coordination and support services,299.0953519,26.45636885,22.90235866,3.560920575,19.61483124,8.486573358,0.627595377,0.130172446,1094.651012
