Donor,% Humanitarian,% Development,% Peace,ODA
United States,26.5,68.6,4.9,59745.17027
Norway,22.8,66.9,10.3,4294.674879
Sweden,21.1,56.6,22.3,3260.216147
Denmark,19,66.3,14.7,2125.682884
Belgium,17.7,79,3.3,1403.881382
Australia,16,73.7,10.3,2721.610895
Switzerland,15.5,75.7,8.8,4211.197224
Finland,15.3,74.2,10.6,941.210858
Spain,14,73.6,12.4,1558.294956
Canada,12,81.5,6.5,7148.956333
Ireland,10.3,85.4,4.3,2145.587093
Netherlands,10,73.7,16.2,5109.034068
Korea,9.4,87.2,3.3,2657.648906
Germany,9,83.6,7.4,29494.90912
EU Institutions,8.7,85.3,6,40076.70239
Italy,8.2,88.9,2.9,2803.734973
United Kingdom,8,86.5,5.5,12127.07727
Japan,7.2,91.5,1.2,20382.90607
Poland,6,93.2,0.8,1716.445703
France,4.7,92.7,2.6,11074.445
