Type,Org,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ODA Loans,IDA Loans,1331.525394,3754.527699,4552.606136,4367.918577,4921.827846,5882.408651,5059.698771,6851.157849,6709.24271,5582.16795
ODA Grants,IDA Grants,1288.904719,1395.0111,695.721608,1683.813123,1942.971147,2875.439567,3429.966554,3458.437882,3337.373876,3148.84415
ODA Loans,AsDB Loans,9.518714,459.668068,452.73435,409.016919,526.243739,422.528288,738.072836,1616.750857,500.342383,931.677159
ODA Grants,AsDB Grants,104.738777,142.939543,219.559664,223.148621,249.867382,247.357486,408.431838,92.534261,334.437463,220.522134
ODA Loans,AfDF Loans,251.15029,298.859847,670.410759,565.329209,323.802627,297.753509,215.812823,270.246324,168.449238,130.066756
ODA Grants,AfDF Grants,239.320645,181.431353,231.144131,277.552038,199.407385,340.666389,752.908008,554.567643,156.251543,245.930546
ODA Loans,Other MDBs Loans,121.634875,66.101473,186.140243,149.882342,60.629097,121.071307,27.612506,0,49.763715,0
ODA Grants,Other MDBs Grants,129.611072,364.578477,201.282323,249.268173,91.048345,259.533093,176.23413,105.068402,81.531843,84.855039
ODA Loans,Total Loans,1713.829273,4579.157087,5861.891488,5492.147047,5832.503309,6723.761755,6041.196936,8738.15503,7427.798046,6643.911865
ODA Grants,Total Grants,1762.575213,2083.960473,1347.707726,2433.781955,2483.294259,3722.996535,4767.54053,4210.608188,3909.594725,3700.151869
