"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
2446,2015,,,SY,"Syrian Arab Republic",Aleppo,Aleppo,Aleppo,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Aerial bombardment",Combat/Crossfire,"Project site",36.202105,37.13426,Incidental,"Host State","Syrian Armed Forces","One male staff national staff member was killed during aerial bombing by the state while working at the project site.",Yes,"Focal Point"
3566,2015,,,IQ,Iraq,Erbil,Erbil,Erbil,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,"Rape/sexual assault ","Individual attack",Home,36.191188,44.009189,Unknown,"Staff member",,"One UN international female staff was repeatedly drugged and sexually assaulted by a fellow staff member over the course of the year.
",Yes,"Focal Point"
1892,2015,1,6,SS,"South Sudan",Warrap,Abyei,Dhalop,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,9.788911,28.412623,Unknown,"Non-state armed group: Unknown","Not applicable","Five armed men attacked a team of 8 UN contractors that were working on a demining project and hijacked their vehicle. The driver was kidnapped and found unharmed on 8th January.",Yes,"Official Report"
2036,2015,1,6,SO,Somalia,Hiraan,Beledweyne,Bacda,0,0,0,0,3,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,Shooting,Ambush,Road,4.742941,45.200936,Unknown,"Non-state armed group: Unknown","Not applicable","One NGO staff worker was killed and two injured when their car was fired apon by armed militia at an illegal checkpoint in Bacda. The motive for the attack is unknown.",Yes,"Official Report"
1871,2015,1,7,SS,"South Sudan",Warrap,Abyei,Agok,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault",Ambush,Road,9.357274,28.582716,Political,"Non-state armed group: National","Sudan People's Liberation Army (SPLA)","A local driver for an INGO was assaulted by two SPLA soldiers when stopped at a roundabout while driving in Agok. The soldiers, who had stopped behind him in their own vehicle, forced him out of his car. UNISFA soldiers intervened to stop the attack.",Pending,Archived
1869,2015,1,14,SD,Sudan,"South Darfur","Nyala Janoub",Nyala,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,12.05,24.883333,Unknown,Unknown,Unknown,"While using his private vehicle, an INGO national staff member was abducted while dropping off a colleague at home. He was released on 5th February.",Yes,"Official Report"
1929,2015,1,15,ZM,Zambia,Western,Kaoma,Kaoma,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,"Rape/sexual assault ","Individual attack",Home,-14.81194,24.797398,Unknown,Unknown,Unknown,"One female international UN consultant was sexually assaulted at knifepoint at home while sleeping.",Yes,"Focal Point"
1874,2015,1,19,CF,"Central African Republic",Bangui,Bangui,Bangui,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,Kidnapping,Unknown,Unknown,4.366667,18.583333,Unknown,"Non-state armed group: Unknown","Not applicable","A French aid worker working for a charity organization was abducted at gunpoint in Bangui, Central African Republic and released unharmed on January 23, 2015.",Yes,Media
1870,2015,1,20,SD,Sudan,"South Kordofan",Talawdi,Farandalla,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Aerial bombardment",Combat/Crossfire,"Project site",11.199019,29.417932,Political,,"Sudanese Armed Forces","One staff person was injured when bombs dropped by the Sudanese Air Force landed on a hospital operated by an INGO. The hospital is located in the Nuba Mountains village of Frandala.",Yes,"Official Report"
