id,amountUSD,fullParkedAmountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
256460,0,13906448,,256463|256464|256461|256462,financial,2022-08-03T09:55:46.094Z,2022-06-14T00:00:00Z,2022-06-14T00:00:00Z,support to small farmers with special focus on women and young people,earmarked,0.791,2022-07-13T00:00:00Z,Parked,Multiyear|FCDO,TRUE,0,GBP,Traditional aid,,commitment,2025-01-28T11:03:40.947Z,1,incoming,shared,FAO	GCP /SYR/030/UK,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,48; 47; 46; 45; 44; 43,2027; 2026; 2025; 2024; 2023; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,600,Syrian Arab Republic - Civil Unrest (from 2012),single,,,,6,Food Security,single,,,,218,Syrian Arab Republic,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,48; 47; 46; 45; 44; 43,2027; 2026; 2025; 2024; 2023; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,Primary,Food and Agriculture Organization of the United Nations,Email,2022-07-13T00:00:00.000Z
256464,5689001,5689001,,,financial,2022-08-03T10:23:35.074Z,2022-06-14T00:00:00Z,2022-06-14T00:00:00Z,support to small farmers with special focus on women and young people,earmarked,0.791,2022-07-13T00:00:00Z,Parked,Multiyear|FCDO,TRUE,4500000,GBP,Traditional aid,256460,commitment,2025-01-28T11:03:40.753Z,1,incoming,shared,FAO	GCP /SYR/030/UK,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,48; 47; 46,2027; 2026; 2025,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,600,Syrian Arab Republic - Civil Unrest (from 2012),single,,,,6,Food Security,single,,,,218,Syrian Arab Republic,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,48; 47; 46,2027; 2026; 2025,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,NULL; NULL; NULL,Primary,Food and Agriculture Organization of the United Nations,Email,2022-07-13T00:00:00.000Z
269126,1000000,,,,financial,2023-02-10T10:51:25.362Z,2023-02-10T00:00:00Z,2022-09-30T00:00:00Z,To enhance animal Health and One Health capacities to mitigate zoonotic diseases and AMR risks and threats in Zambia,earmarked,,2023-02-10T00:00:00Z,Standard,USAID/BHA,TRUE,,,Traditional aid,,commitment,2023-02-10T10:51:25.362Z,1,incoming,single,7200GH22IO00005 (FAO/GHS) OSRO/ZAM/200/USA,237,United States,single,,,,2933,"United States of America, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,26512,Agriculture,single,,,,249,Zambia,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,48,2027,single,,,,Primary,Food and Agriculture Organization of the United Nations,Email,2023-02-10T00:00:00.000Z
269331,0,415730337,2022,269337|269335|269336|269333|287569|287560|263839|263843|263874|263878|263864|263847|270504|270503|270505|270506|270507|270510|270508|270509|260045|257883|271509|263914|263916|263848|263879|281212|263876|257884|263866|287566|281210|287562|287564|281211|287565|287563|281213|287567|281214|297588|260046|269334|271510|287561|287568,financial,2023-02-11T02:27:25.715Z,2022-03-01T00:00:00Z,2022-03-01T00:00:00Z,DRA Blokallocatie 2022-2026,unearmarked,0.89,2023-02-09T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2024-05-06T14:16:49.708Z,1,incoming,shared,XM-DAC-7-PPR-4000005527,157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,,,,,,,8207,Dutch Relief Alliance,single,NGOs,International NGOs,International Actors,44; 43; 45; 48; 47; 46,2023; 2022; 2024; 2027; 2026; 2025,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,Primary,"Netherlands, Government of",From EDRIS,2023-02-09T00:00:00.000Z
269337,1685393,,2027,,financial,2023-02-11T02:27:27.024Z,2022-03-01T00:00:00Z,2022-03-01T00:00:00Z,DRA Blokallocatie 2022-2026,unearmarked,0.89,2023-02-09T00:00:00Z,Standard,Multiyear,TRUE,1500000,EUR,Traditional aid,269331,commitment,2024-05-06T13:39:14.577Z,1,incoming,single,XM-DAC-7-PPR-4000005527,157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,251,Global,single,,,,8207,Dutch Relief Alliance,single,NGOs,International NGOs,International Actors,48,2027,single,,,,Primary,"Netherlands, Government of",From EDRIS,2023-02-09T00:00:00.000Z
269362,1454623,,2027,,financial,2023-02-11T02:27:37.706Z,2022-04-15T00:00:00Z,2022-04-15T00:00:00Z,NRK Blokallocatie 2022-2026,,0.911,2023-02-09T00:00:00Z,Standard,Multiyear,TRUE,1325162,EUR,Traditional aid,269356,commitment,2024-05-06T12:23:30.477Z,1,incoming,single,XM-DAC-7-PPR-4000005666,157,Netherlands,single,,,,3008,"Netherlands, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,,,,,,,,,,,,,251,Global,single,,,,2470,The Netherlands Red Cross,single,Red Cross/Red Crescent Organizations,International Red Cross/Red Crescent Movement,International Actors,48,2027,single,,,,Primary,"Netherlands, Government of",From EDRIS,2023-02-09T00:00:00.000Z
281312,1287554,,2023,,financial,2024-12-01T02:26:15.399Z,2023-06-07T00:00:00Z,2023-06-07T00:00:00Z,Bangladesh - Strengthening Shock Responsive Social Protection Systems - 2023,earmarked,0.932,2023-06-07T00:00:00Z,Standard,Multiyear,TRUE,1200000,EUR,Traditional aid,,commitment,2025-03-07T13:17:27.163Z,3,incoming,shared,ECHO/-XA/BUD/2023/91022,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,44,2023,single,,,,,,,,,,26481,Other,single,,,,19,Bangladesh,single,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,44; 45; 46; 47; 48,2023; 2024; 2025; 2026; 2027,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,Primary,European Commission's Humanitarian Aid and Civil Protection Department,From EDRIS,2024-11-30T00:00:00.000Z
281661,0,1072961,2023,283108|283110|283109,financial,2024-12-18T02:30:33.941Z,2023-06-12T00:00:00Z,2023-06-12T00:00:00Z,"Support systems strengthening and human capacity development for improved coordination, design and delivery of effective emergency preparedness and response in the English-speaking Caribbean.",softly earmarked,0.932,2023-06-12T00:00:00Z,Parked,Multiyear|Regional,TRUE,0,EUR,Traditional aid,,commitment,2024-12-19T19:09:22.255Z,5,incoming,shared,ECHO/-AM/BUD/2023/91025,,,,,,,8523,European Commission's Humanitarian Aid and Civil Protection Department,single,Multilateral Organizations,Other Multilateral Organizations,International Actors,44,2023,single,,,,,,,,,,,,,,,,251,Global,single,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,44; 45; 46; 47; 48,2023; 2024; 2025; 2026; 2027,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,Primary,European Commission's Humanitarian Aid and Civil Protection Department,From EDRIS,2024-12-17T00:00:00.000Z
289058,0,9483067,,289059|289060|289061,financial,2023-09-21T05:33:33.333Z,2023-08-30T00:00:00Z,2023-08-30T00:00:00Z,The Project for Enhancing Agriculture Production through Community-led Irrigation.,earmarked,,2023-09-19T00:00:00Z,Parked,Multiyear,TRUE,,,Traditional aid,,commitment,2024-07-29T11:40:59.162Z,1,incoming,shared,OSRO/AFG/134/JCA,112,Japan,single,,,,4537,"Japan, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,,,,,,,26481,Other,single,,,,1,Afghanistan,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,44; 45; 46; 47; 48,2023; 2024; 2025; 2026; 2027,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,Primary,Food and Agriculture Organization of the United Nations,Email,2023-09-19T00:00:00.000Z
291640,0,4795792,2023,291641|291642|291643|291644,financial,2023-10-20T12:27:10.055Z,2023-10-11T00:00:00Z,2023-10-11T00:00:00Z,"Nutrition	Improving the delivery of integrated nutrition and sanitation services to children, and women in Eritrea 
---- FCDO",earmarked,0.813213,2023-10-20T00:00:00Z,Parked,Multiyear|FCDO,TRUE,0,GBP,Traditional aid,,commitment,2024-05-16T14:34:56.763Z,1,incoming,shared,301381-404,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,,,,,,,,,,,,,69,Eritrea,single,,,,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,44; 45; 46; 47; 48,2023; 2024; 2025; 2026; 2027,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,Primary,"United Kingdom, Government of",Email,2023-10-20T00:00:00.000Z
